[12-Apr-2013 04:33:15 UTC] PHP Notice:  Undefined index: state_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 383
[12-Apr-2013 04:33:15 UTC] PHP Notice:  Undefined index: city_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 389
[12-Apr-2013 04:33:34 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 169
[12-Apr-2013 04:33:34 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 173
[12-Apr-2013 04:33:34 UTC] PHP Notice:  Undefined index: country_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 377
[12-Apr-2013 04:33:34 UTC] PHP Notice:  Undefined index: state_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 383
[12-Apr-2013 04:33:34 UTC] PHP Notice:  Undefined index: city_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 389
[12-Apr-2013 04:36:10 UTC] PHP Notice:  Undefined index: country_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 377
[12-Apr-2013 04:36:10 UTC] PHP Notice:  Undefined index: state_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 383
[12-Apr-2013 04:36:10 UTC] PHP Notice:  Undefined index: city_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 389
[12-Apr-2013 04:36:13 UTC] PHP Notice:  Undefined index: country_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 377
[12-Apr-2013 04:36:13 UTC] PHP Notice:  Undefined index: state_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 383
[12-Apr-2013 04:36:13 UTC] PHP Notice:  Undefined index: city_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 389
[12-Apr-2013 04:36:14 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 169
[12-Apr-2013 04:36:14 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 173
[12-Apr-2013 04:36:31 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:33 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 169
[12-Apr-2013 04:36:33 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 173
[12-Apr-2013 04:36:33 UTC] PHP Notice:  Undefined index: country_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 377
[12-Apr-2013 04:36:33 UTC] PHP Notice:  Undefined index: state_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 383
[12-Apr-2013 04:36:33 UTC] PHP Notice:  Undefined index: city_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 389
[12-Apr-2013 04:36:34 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:36 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:36 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:37 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:37 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:39 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:39 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:40 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 169
[12-Apr-2013 04:36:40 UTC] PHP Notice:  Undefined variable: error in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/Model/validation.php on line 173
[12-Apr-2013 04:36:40 UTC] PHP Notice:  Undefined index: country_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 377
[12-Apr-2013 04:36:40 UTC] PHP Notice:  Undefined index: state_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 383
[12-Apr-2013 04:36:40 UTC] PHP Notice:  Undefined index: city_name in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/View/UserInfoForm.php on line 389
[12-Apr-2013 04:36:47 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:47 UTC] PHP Warning:  imagesx(): 18 is not a valid Image resource in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 73
[12-Apr-2013 04:36:47 UTC] PHP Warning:  imagesy(): 18 is not a valid Image resource in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 78
[12-Apr-2013 04:36:47 UTC] PHP Warning:  imagecopyresampled(): 18 is not a valid Image resource in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 102
[12-Apr-2013 04:36:47 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
[12-Apr-2013 04:36:47 UTC] PHP Warning:  imagesx(): 18 is not a valid Image resource in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 73
[12-Apr-2013 04:36:47 UTC] PHP Warning:  imagesy(): 18 is not a valid Image resource in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 78
[12-Apr-2013 04:36:47 UTC] PHP Warning:  imagecopyresampled(): 18 is not a valid Image resource in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 102
[12-Apr-2013 04:36:50 UTC] PHP Notice:  getimagesize(): Read error! in /var/www/websites/careerbook/12042013/careerbook.git/trunk/careerbook/classes/myImage.php on line 26
